"type","resourceCount","capturedInSheet","hasDedicatedSheet"
"microsoft.network/privatednszones/virtualnetworklinks","37","resources (catch-all only)","False"
"microsoft.compute/virtualmachines/extensions","8","resources (catch-all only)","False"
"microsoft.network/networkwatchers","3","resources (catch-all only)","False"
"microsoft.insights/actiongroups","2","resources (catch-all only)","False"
"microsoft.network/networksecuritygroups","6","networking","True"
"microsoft.network/virtualnetworks","4","networking","True"
"microsoft.storage/storageaccounts","3","storage-accounts","True"
"microsoft.web/sites","2","app-services-and-serverless","True"
"microsoft.sql/servers/databases","1","databases","True"
"microsoft.compute/virtualmachines","5","virtual-machines","True"
"microsoft.keyvault/vaults","2","key-vaults","True"
