"subscriptionId","resourceGroup","name","type","location","category","gatewayType","vpnType","skuName","activeActive","circuitProvider","circuitPeeringLocation","circuitBandwidthMbps","appGwTier","wafEnabled","wafPolicyId","wafMode","id"
"11111111-1111-1111-1111-111111111111","rg-network-hub","ergw-hub","microsoft.network/virtualnetworkgateways","eastus","VNetGateway:ExpressRoute","ExpressRoute","","ErGw1AZ","false","","","","","","","",".../virtualNetworkGateways/ergw-hub"
"11111111-1111-1111-1111-111111111111","rg-network-hub","vpngw-hub","microsoft.network/virtualnetworkgateways","eastus","VNetGateway:Vpn","Vpn","RouteBased","VpnGw2AZ","true","","","","","","","",".../virtualNetworkGateways/vpngw-hub"
"11111111-1111-1111-1111-111111111111","rg-network-hub","er-primary","microsoft.network/expressroutecircuits","eastus","ExpressRouteCircuit","","","Standard_MeteredData","","Equinix","Washington DC","1000","","","","",".../expressRouteCircuits/er-primary"
"11111111-1111-1111-1111-111111111111","rg-network-hub","fw-hub","microsoft.network/azurefirewalls","eastus","AzureFirewall","","","AZFW_VNet","","","","","","","","",".../azureFirewalls/fw-hub"
"11111111-1111-1111-1111-111111111111","rg-network-hub","fw-policy","microsoft.network/firewallpolicies","eastus","FirewallPolicy","","","Premium","","","","","","","","",".../firewallPolicies/fw-policy"
"11111111-1111-1111-1111-111111111111","rg-app-prod","agw-web","microsoft.network/applicationgateways","eastus","ApplicationGateway","","","WAF_v2","","","","","WAF_v2","true (via policy)",".../ApplicationGatewayWebApplicationFirewallPolicies/waf-appgw","",".../applicationGateways/agw-web"
"11111111-1111-1111-1111-111111111111","rg-app-prod","waf-appgw","microsoft.network/applicationgatewaywebapplicationfirewallpolicies","eastus","WAFPolicy(AppGw)","","","","","","","","","Enabled","","Prevention",".../ApplicationGatewayWebApplicationFirewallPolicies/waf-appgw"
"11111111-1111-1111-1111-111111111111","rg-app-prod","afd-prod","microsoft.cdn/profiles","global","FrontDoor/CDN:Premium_AzureFrontDoor","","","Premium_AzureFrontDoor","","","","","","","","",".../profiles/afd-prod"
"11111111-1111-1111-1111-111111111111","rg-app-prod","waf-afd","microsoft.network/frontdoorwebapplicationfirewallpolicies","global","WAFPolicy(FrontDoor)","","","","","","","","","Enabled","","Prevention",".../FrontDoorWebApplicationFirewallPolicies/waf-afd"
"11111111-1111-1111-1111-111111111111","rg-network-hub","bastion-hub","microsoft.network/bastionhosts","eastus","Bastion","","","Standard","","","","","","","","",".../bastionHosts/bastion-hub"
"11111111-1111-1111-1111-111111111111","rg-app-prod","ngw-app","microsoft.network/natgateways","eastus","NatGateway","","","Standard","","","","","","","","",".../natGateways/ngw-app"
